Reactor,Feed1,Feed2,Time,ProdParafPer,ProdEBPer,Admixture,BenzeneConv,Selectivity,t1,t2,t3,t4,t5,t6,PresDrop
2,5.5,160,4626.00,0.05,12.54,1.25,13.26,94.57,14.7,13,13.5,10.7,10.5,8.2,2.07
2,5.5,160,4630.00,0.05,12.39,1.21,13.02,95.16,15.2,13.2,13.2,10.7,10.2,8.2,2.06
2,5.5,160,4634.00,0.05,15.22,1.2,12.99,117.17,14.5,12.8,12.7,10.6,9.9,8.2,2.17
2,5.5,165,4638.00,0.05,12.06,1.19,12.65,95.34,14.2,12.7,12.7,10.2,10.1,8.3,2.17
2,5.5,165,4642.00,0.05,12.2,1.24,12.91,94.50,12,11.2,11,9.2,11,13.1,2.1
2,5.5,165,4646.00,0.06,10.98,1.14,11.56,94.98,11.9,11.3,11.1,9.5,11.7,12.9,2.15
2,5.5,165,4650.00,0.06,10.78,1.06,11.22,96.08,11.9,11.2,11.1,9.6,12.6,13.9,2.17
2,5.5,165,4654.00,0.06,11.18,1.1,11.73,95.31,12.1,11.4,11.6,10,13.4,14.3,2.13
2,5.5,165,4658.00,0.06,13.14,1.45,13.83,95.01,12,11.4,11.9,9.9,13.5,14.1,2.13
2,4.6,165,4662.00,0.07,12.88,1.39,13.55,95.06,10,9.3,9,7.4,10.3,11.6,1.99
2,4.6,165,4666.00,0.06,10.71,1.14,11,97.36,10.5,9.2,9.2,7,9.8,11.5,2
2,4.6,160,4670.00,0.06,10.44,1,10.76,97.03,9.4,9,9.1,7.3,10,12,2.08
2,4.6,160,4674.00,0.06,10.45,1.06,10.83,96.49,9.4,9.3,9.1,7.3,10.3,12,2.05
2,4.6,160,4678.00,0.06,8.97,0.81,9.08,98.79,9.5,9.3,9.2,7.4,10.5,12.4,2.06
2,4.5,160,4682.00,0.07,10.35,1.11,10.73,96.46,9.1,8.8,9.2,7.3,10.3,12.2,2
2,4.5,160,4686.00,0.06,10.29,1.02,10.66,96.53,9,9.1,9.2,7.5,10,12.1,2.03
2,4.5,160,4690.00,0.05,10.67,1.08,11.06,96.47,9.1,8.6,9.3,8.4,10.6,12.7,2.06
2,4.5,160,4694.00,0.05,10.87,0.99,11.16,97.40,8.9,9,9.7,8.4,11,12.8,2.09
2,4.5,160,4702.00,0.06,10.77,1.1,11.17,96.42,9.2,9.1,9.8,8.6,11.1,13.1,2.07
2,4.5,160,4710.00,0.06,10.77,1.09,11.05,97.47,8.9,8.7,9.5,8.4,11,12.7,2.08
2,4.5,160,4718.00,0.06,11.1,1.18,11.75,94.47,9.4,9.1,9.7,8.5,11,12.2,2.07
2,4.5,160,4726.00,0.05,11.72,1.19,12.11,96.78,9.4,9.3,10,8.1,11,12,2.07
