Reactor,Feed1,Feed2,Time,ProdParafPer,ProdEBPer,Admixture,BenzeneConv,Selectivity,t1,t2,t3,t4,t5,t6,PresDrop
1,8,167,0,0.03,15.24,1.84,16.94,89.96,11.33,14.11,9.56,16.24,14.59,8.27,3
1,7.2,165,24,0.05,11.32,1.47,11.91,95.05,8,0.8,1,0.7,0.2,2,4.46
1,7,165,48,0.04,12.71,1.49,13.49,94.22,11.2,20,11.4,15,11.7,11,4.43
1,7,165,72,0.04,12.37,1.31,13.39,92.38,10.4,19,10.3,14,10.8,9.8,4.44
1,7,165,96,0.05,12.76,1.48,13.53,94.31,8.8,16.9,8.8,12.4,11,8.5,4.46
1,7,165,120,0.05,13.12,1.57,14.11,92.98,8.1,13.5,8.6,10.9,10.1,8,4.44
1,7,165,144,0.07,13.2,3.63,13.75,96.00,10.8,20.4,14.9,16.3,12.4,12,4.47
1,7,165,168,0.06,12.2,1.39,13.16,92.71,11.4,20.7,11.6,15.6,12.6,12.7,4.56
1,7,165,192,0.05,13.53,1.56,14.49,93.37,10.8,21.8,11.6,15.4,12.4,12.6,4.6
1,7,165,216,0.05,12.54,1.46,13.34,94.00,11.2,20.8,10.7,14.6,11.6,12.2,4.6
1,7,165,240,0.05,12.56,1.55,11.55,108.74,10.7,20.3,10.9,14.5,11.2,11.7,4.59
1,7,165,264,0.05,12.11,1.45,12.91,93.80,11.1,20.2,10.5,14.6,11.4,12,4.6
1,7,165,288,0.05,13.12,1.55,14.01,93.65,11.1,20.2,10.9,14.5,11.2,12.1,4.66
1,7,165,312,0.05,12.61,1.43,13.38,94.25,11.1,20.6,10.8,14.7,11.2,12.5,4.62
1,7,165,336,0.05,11.4,1.17,12.08,94.37,10.3,20.3,11.5,14.5,11.4,12.5,4.58
1,7,165,360,0.04,11.04,1.09,12.63,87.41,6.7,19.7,12.2,15.6,13,15.1,4.55
1,7,165,384,0.05,11.59,1.23,12.27,94.46,7.9,19.6,11.9,15.5,12.8,13.9,4.61
1,7,165,408,0.04,10.75,1.09,11.15,96.41,9.1,18.6,11.2,14.8,12.4,13.7,4.62
1,7,165,432,0.04,11.83,1.28,12.47,94.87,8.5,19.7,11.9,15.1,12.3,14.1,4.68
1,7,165,456,0.04,12.35,1.36,13.05,94.64,8.2,21.4,13.1,17,13.8,14.5,4.7
1,7,165,480,0.05,12.44,1.48,13.29,93.60,10.6,20,10.4,15.1,11.8,13.2,4.7
1,7,165,504,0.04,13.39,1.6,14.26,93.90,9.8,20.6,11.6,15.1,11.5,12.3,4.77
1,7,165,528,0.04,12,1.36,12.86,93.31,9.3,20.7,11.7,14.5,12.3,12.8,4.75
1,7,165,552,0.04,12.5,1.42,13.38,93.42,9.4,20.9,12.3,16.2,12.6,14,4.76
